mobile-categories	name	description	price	image-src
Mi Phones	Xiaomi Redmi 6	"Xiaomi 's Redmi 6 is a budget offering from the Chinese phone maker that made its way to the Indian market in September of 2018. The smartphone is based on Android Oreo operating system. It is powered by an octa-core MediaTek Helio P22 processor, which is paired with 3GB of RAM. It is fuelled by a non-removable 3,000mAh battery. It has a fingerprint reader and ships with 32GB of internal storage space. The smartphone has a 5.45-inch HD+ display and comes with dual 12+5MP rear and a 5MP front-facing shooter. The latest Xiaomi mobile phones you may be interested in are the Redmi Note 7 pro, Redmi 7 and the Redmi Go."	"6,999"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi Y3	"The Redmi Y3 is a budget smartphone from Xiaomi. The phone offers a 6.26-inch HD+ IPS screen with a waterdrop notch. It is powered by Qualcomm's Snapdragon 660 chip coupled with 3 GB of RAM. The device comes with 32 GB internal storage that can be expanded via microSD card slot. The phone has a 12 MP + 2 MP dual camera at the back. To please the selfie aficionados, the handset comes equipped with a 32 MP front snapper. The Xiaomi Redmi Y3 runs Android 9.0 Pie with MIUI 10 on top. The upcoming Redmi mobile phones you may want to watch out for are the Redmi K20, Redmi K20 Pro, and the Redmi X"	"7,999"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi 8A	"The Redmi 8A is the latest entry-level smartphone from Xiaomi. It mostly improves upon its predecessor the Redmi 7A. The phone features a 6.2-inch LCD screen with a waterdrop notch. The panel has HD+ resolution. The device is powered by Snapdragon 439 chipset and has 2 GB of RAM along with 32 GB internal storage. In the photography department, you get a 12 MP camera. There's a 8 MP module for selfies. The dual SIM phone supports 4G and has a dedicated microSD card slot. The handset draws power from a large 5,000 mAh battery. On the software side of things, the Redmi 8A runs Android 9 with Xiaomi's MIUI 10 on top. Some of the other popular Xiaomi smartphones include the Redmi 8 and the Redmi Note 8 Pro."	"6,499"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi Go	"The Redmi Go is the first smartphone from Xiaomi that boots Android Go operating system. It is an entry-level offering from the brand to cater to the needs of users who are not too concerned about powerful specifications and want a decent phone with an ultra-affordable price tag. The Xiaomi Redmi Go packs a 5-inch HD screen bearing 720p resolution and 16:9 aspect ratio. It conforms to a conventional design with bezels. The phone is powered by a 1.4GHz quad-core Snapdragon SoC with 1GB of RAM and 8GB of internal storage, which can be further expanded up to 128GB via microSD card. The Redmi Go comes with an 8MP rear camera with LED flash and a 5MP selfie shooter on the front."	null	
Mi Phones	Xiaomi Redmi Note 8 128GB	"Xiaomi Redmi Note 8 128GB Price starts at Rs. 12,999. The lowest price of Xiaomi Redmi Note 8 128GB is at Amazon, which is 3% less than the cost of Redmi Note 8 128GB at Flipkart (Rs. 13434). This phone is available in 32 GB, 64 GB, 128 GB storage variants. Xiaomi Redmi Note 8 128GB is available in Neptune Blue, Cosmic Purple, Moonlight White, Space Black, Blue, Black, White, Purple colours across various online stores in India."	"12,999"	"https://assets.mspimages.in/c/tr:w-375,h-300,c-at_max/16067-44-1.jpg"
Mi Phones	Xiaomi Redmi K20 Pro	"The Redmi K20 Pro is yet another ‘flagship killer’ by Xiaomi. Aimed at mid-range buyers who want something premium without causing a hole in their pockets, the K20 Pro packs more than enough dynamism. The phone has a 6.39-inch AMOLED full-HD+ display bearing 1080×2340 pixels resolution and an aspect ratio of 19.5:9 alongside support for HDR and Corning Gorilla Glass 5 protection. Under the hood, Qualcomm’s top-end Snapdragon 855 SoC powers the smartphone with 6GB of LPDDR4x RAM and 128GB of UFS2.1 internal storage. The phone also boasts an optical in-display fingerprint sensor."	null	
Mi Phones	Xiaomi Redmi Note 4	"The Xiaomi Redmi Note 4 ships with a fingerprint reader at the back and runs Android 6.0 Marshmallow out of the box. The device is paired with a 13MP autofocus rear camera and a 5MP front shooter that can shoot Full HD videos. The big 4,100mAh battery can last longer than expected and the device is bundled with all the common options in terms of connectivity like 4G, Bluetooth 4.1, Infrared, and a microUSB 2.0 port. There is 32GB of onboard storage space which via the Hybrid SIM slot can be expanded up to 256GB. The latest popular budget smartphone you may also like is Redmi Note 7. The next variant of this mobile is Redmi Note 5. If you are a gameaholic and wanted to play them on a Xiaomi phone, then buy Black Shark 2."	"6,990"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Mi Max 3	"The Xiaomi Mi Max 3 has a 6.9-inch display with Full HD+ resolution, 18:9 aspect ratio, and a nearly bezel-less design. The smartphone is powered by Qualcomm Snapdragon 636 processor, and it runs on Android 8.1 Oreo OS customized with MIUI 10. The device comes in two variants; 4GB RAM + 64GB storage and 6GB RAM + 128GB storage. There is a dual-camera setup at the rear, which has a 12MP main camera and a 5MP depth-sensing camera. The rear camera setup can also record 4K videos. There is an 8MP front-facing camera. The USP of the Mi Max series devices is their large battery, and the Mi Max 3 is no different; it has a 5500mAh battery that supports Qualcomm Quick Charge 3.0 fast charging. The other Xiaomi mobile phones you may be interested in are Xiaomi Mi CC9, Mi CC9e, and the Mi MIX 4"	"17,999"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Mi 8	"The Xiaomi Mi 8 has a 6.2-inch Super AMOLED screen with Full HD+ resolution, notch, and HDR10. There's a 12MP+12MP dual-camera with 4K video recording and a 20MP selfie camera. The Mi 8 uses a Snapdragon 845 processor, up to 8GB RAM and up to 256GB storage. The phone has a fingerprint reader as well as IR face unlock. It's a dual-SIM phone with latest connectivity features and a USB Type-C port. The phone is powered by a 3400mAh battery with Quick Charge 4.0+. The Mi 8 SE is a good choice for those looking at a cheaper option. The latest Xiaomi mobile phones you may be interested in are the Redmi Note 8 and the Redmi 8."	"24,500"	"https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70,c-at_max/lazy.png"
Mi Phones	Xiaomi Redmi Note 7	"The Xiaomi Redmi Note 7 has a 6.3-inch IPS LCD screen with Full HD+ resolution and Corning Gorilla Glass 5 protection. The display has a nearly bezel-less design and a waterdrop notch in it. The device features the Qualcomm Snapdragon 660 octa-core chipset and Android 9 Pie operating system with MIUI 10 customization. There are two variants on offer; 3GB RAM + 32GB storage, 4GB RAM + 64GB storage. With microSD card support, the storage on the Redmi Note 7 can be further expanded up to 256GB. The smartphone has a 12MP+2MP dual-camera setup at the back and an AI-backed 13MP selfie camera at the front that is geared with features such as Portrait mode, Smart Beauty, Scene recognition, and more. The Xiaomi Redmi Note 7 packs a 4000mAh battery with support for Quick Charge 4.0 fast charging. There is USB Type-C port, a 3.5mm audio jack, dual-SIM connectivity, 4G LTE, Bluetooth v5.0, and dual-band Wi-Fi ac for connectivity. Other features include a rear-mounted fingerprint scanner."	null	
Mi Phones	Xiaomi Redmi 7	"The Xiaomi Redmi 7 is yet another budget offering from the brand. It comes with a 6.26-inch HD+ display with 720×1520 pixels resolution bearing a 19:9 aspect ratio and Corning Gorilla Glass 5 protection. It also boasts a P2i splash-resistant coating. An octa-core Snapdragon 632 SoC clocked at 1.8GHz powers the device with 2GB/3GB/4GB of RAM and 16GB/32GB/64GB of internal storage, depending on the variant. A 12MP+2MP dual rear camera setup handles the imaging segment alongside an 8MP front camera. Connectivity options supported by the Redmi 7 include dual-SIM, 4G VoLTE, Wi-Fi, Bluetooth v4.2, GPS/ A-GPS, USB, a 3.5mm headphone jack, and an Infrared (IR) blaster. A 4,000mAh battery completes the Redmi 7."	null	
